"ตารางราคากระบอกน้ำพลาสติก
อัพเดท 22/5/67
22,"PL-11
STOCK
มี มอก.",,"รหัสสินค้า : PL-11
ขนาด : 19.5 x 6.5 x 5 cm.
ปริมาตรบรรจุ : 450 ML
น้ำหนัก : -
วัสดุ : PP
สี : (STOCK) ขาว / ดำ / เขียวมิ้น
ผลิตขั้นต่ำ : 100 ชิ้นต่อสี (สั่งสีผลิตตามแบบ เริ่มต้นที่ 1200 ชิ้น ต่อหนึ่งสี)
ระยะเวลาในการผลิต : 10-15 วัน
การทำ LOGO สกรีน บรรจุถุง OPP
รูปแบบโลโก้ : silk screen
Graphic Design : บริการวางแบบฟรี!",50.-,65,"100 / 42.- 
300 / 39.- ","500 / 37.- 
",35.-,NO,NO,FREE,NO,ถามกราฟฟิก,ถามกราฟฟิก,ถามกราฟฟิก,
23,PL-32,,"กระบอกน้ำพลาสติก

รหัสสินค้า : PL-32
ขนาด : สูง 21 กว้าง 7 CM  
ปริมาณบรรจุ : 450ML / MAX 650ML  
น้ำหนัก : 180g
สี : เขียวมิ้น / ฟ้า / ขาว / ชมพู
วัสดุ : Plastic PC / PP 
ผลิตขั้นต่ำ : 500 ต่อสี
รูปแบบโลโก้ : silk screen
ระยะเวลาในการผลิต : 20-25 วัน pre order","ขั้นต่ำ 500 ต่อสี 
500 / 50.-
1000 / 48.-
ราคารวมสกรีน 1 สี 1 จุด ",,,,,NO,NO,FREE,NO,CAN ,NO ,NO ,
"หมายเหตุ  :
1. ราคาในตารางคือ MOQ  100 Pcs 
2.ราคาที่เสนอไปเป็นราคาสกรีน 1 สี 1 จุด หรือ เลเซอร์ 1 จุด บนตัวสินค้า 
3. ราคาที่เสนอไปเป็นกล่องลูกฟูกไม่สกรีนโลโก้ 
4.ในกรณีแก้บล็อก สำหรับลูกค้า 700 บาท 
5. ในกรณีแก้บล็อก สำหรับพนักงาน 500 บาท ",,,,,,,,,,,,,,,,
"ราคาโลโก้ (กรณีมีการทำโลโก้เพิ่ม)
1.โลโก้ uv print :
จำนวน 20 - 99 Pcs ราคาเหมา 800 บาท ต่อ 1 บล็อก 
จำนวน 100 - 200 Pcs เพิ่ม 7 บาท/ 1 Pcs 
จำนวน 300 - 400 Pcs เพิ่ม 6 บาท / 1 Pcs 
จำนวน 500 - 1000 Pcs เพิ่ม 5 บาท / 1 Pcs",,,,,,"ราคาโลโก้ (กรณีมีการทำโลโก้เพิ่ม)
1.โลโก้สกรีน :
จำนวน 20 - 99 Pcs ราคาเหมา 1000 บาท ต่อ 1 บล็อก 
จำนวน 100 - 200 Pcs เพิ่ม 8 บาท/ 1 Pcs 
จำนวน 300 - 400 Pcs เพิ่ม 6 บาท / 1 Pcs 
จำนวน 500 - 1000 Pcs เพิ่ม 5 บาท / 1 Pcs",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
